,index,latitude,longitude,duration
171,533.0,40.7304394,-74.0021787,5.0
172,534.0,40.7318819,-74.0087999,25.0
173,534.0,40.7260624,-74.0099167,111.0
174,534.0,40.7223304,-73.9971806,320.0
175,534.0,40.7221454,-73.9973352,5.0
176,535.0,40.7317894,-74.0078129,13.0
177,535.0,40.7328666,-74.007538,23.0
178,535.0,40.7324491,-74.0101245,28.0
179,535.0,40.7323041,-74.0106803,65.0
180,535.0,40.7242254,-74.0116054,159.0
181,535.0,40.7242681,-74.0111071,66.0
182,535.0,40.724104,-74.0094303,28.0
183,535.0,40.7174592,-74.0106382,157.0
184,535.0,40.717436,-74.0104672,3.0
185,536.0,40.7317894,-74.0078129,13.0
186,536.0,40.73941,-74.006447,148.0
187,536.0,40.7409463,-74.0053878,34.0
188,536.0,40.7421185,-74.0082146,75.0
189,536.0,40.7458183,-74.0055317,100.0
190,536.0,40.7467441,-74.0077567,32.0
191,537.0,40.7316756,-74.0066099,11.0
192,537.0,40.7368739,-74.0055605,152.0
193,537.0,40.744009,-73.999422,210.0
194,537.0,40.7452271,-74.0023036,65.0
195,537.0,40.7455402,-74.0020732,77.0
196,538.0,40.7317894,-74.0078129,13.0
197,538.0,40.7335607,-74.0073703,37.0
198,538.0,40.7339987,-74.0045951,69.0
199,538.0,40.7311573,-74.0029514,81.0
200,538.0,40.7318006,-74.0011731,30.0
201,538.0,40.7310465,-73.9996201,54.0
202,538.0,40.7295668,-73.9965785,57.0
203,538.0,40.7307203,-73.9955793,28.0
204,538.0,40.7299926,-73.99408,29.0
205,538.0,40.7294113,-73.9945748,14.0
206,538.0,40.7291075,-73.9939874,69.0
207,539.0,40.7317894,-74.0078129,13.0
208,539.0,40.7328666,-74.007538,23.0
209,539.0,40.7324491,-74.0101245,28.0
210,539.0,40.7323041,-74.0106803,65.0
211,539.0,40.7126742,-74.0145712,394.0
212,539.0,40.7048421,-74.0170397,156.0
213,539.0,40.7045116,-74.0142757,47.0
214,539.0,40.704594,-74.0142515,3.0
215,539.0,40.7045579,-74.0136239,11.0
216,540.0,40.7317894,-74.0078129,13.0
217,540.0,40.7328666,-74.007538,23.0
218,540.0,40.7324491,-74.0101245,28.0
219,540.0,40.7323041,-74.0106803,65.0
220,540.0,40.7165784,-74.0133597,314.0
221,540.0,40.713634,-74.0067344,212.0
222,540.0,40.7124876,-74.0048032,62.0
223,540.0,40.712436,-74.0045625,35.0
224,540.0,40.7041751,-73.9945051,198.0
225,540.0,40.6962687,-73.988749,188.0
226,540.0,40.6963307,-73.9900315,58.0
227,540.0,40.695975,-73.9900947,63.0
228,541.0,40.7318819,-74.0087999,25.0
229,541.0,40.7260624,-74.0099167,111.0
230,541.0,40.7245656,-74.0019192,202.0
231,541.0,40.7249392,-74.0016081,9.0
232,542.0,40.7318819,-74.0087999,25.0
233,542.0,40.7260624,-74.0099167,111.0
234,542.0,40.7255663,-74.0045471,136.0
235,542.0,40.7242778,-74.0047538,21.0
236,542.0,40.7244181,-74.005957,20.0
237,542.0,40.7231324,-74.0062223,96.0
238,542.0,40.7230355,-74.0052553,13.0
239,542.0,40.7224767,-74.0057415,13.0
240,543.0,40.7317894,-74.0078129,13.0
241,543.0,40.7328666,-74.007538,23.0
242,543.0,40.7324491,-74.0101245,28.0
243,543.0,40.7325847,-74.0106554,63.0
244,543.0,40.7593292,-74.0035455,555.0
245,543.0,40.7681592,-73.9961094,205.0
246,543.0,40.7672333,-73.9939587,104.0
247,544.0,40.7317894,-74.0078129,13.0
248,544.0,40.7335607,-74.0073703,37.0
249,544.0,40.7347899,-73.9987182,207.0
250,544.0,40.735378,-73.9982757,46.0
251,544.0,40.7352777,-73.9980381,36.0
252,545.0,40.7317894,-74.0078129,13.0
253,545.0,40.7335607,-74.0073703,37.0
254,545.0,40.7297665,-73.9868067,533.0
255,545.0,40.7285778,-73.9876805,54.0
256,545.0,40.7283659,-73.987179,28.0
257,546.0,40.7317894,-74.0078129,13.0
258,546.0,40.7328666,-74.007538,23.0
259,546.0,40.7324491,-74.0101245,28.0
260,546.0,40.7323041,-74.0106803,65.0
261,546.0,40.7174444,-74.0131424,296.0
262,546.0,40.7175365,-74.0132308,82.0
263,547.0,40.7317894,-74.0078129,13.0
