"station.id","X","station.name","latitude","longitude","year","index","boro","daily_trips"
434,205,"9 Ave & W 18 St",40.74317449,-74.00366443,2013,206,"Manhattan",67.1494252873563
435,206,"W 21 St & 6 Ave",40.74173969,-73.99415556,2013,207,"Manhattan",198.747126436782
436,207,"Hancock St & Bedford Ave",40.68216564,-73.95399026,2013,208,"Brooklyn",7.29885057471264
437,208,"Macon St & Nostrand Ave",40.6809833854,-73.9500479759,2013,209,"Brooklyn",19.1724137931034
438,209,"St Marks Pl & 1 Ave",40.72779126,-73.98564945,2013,210,"Manhattan",72.632183908046
439,210,"E 4 St & 2 Ave",40.7262807,-73.98978041,2013,211,"Manhattan",88.9770114942529
440,211,"E 45 St & 3 Ave",40.75255434,-73.97282625,2013,212,"Manhattan",57.4827586206897
441,212,"E 52 St & 2 Ave",40.756014,-73.967416,2013,213,"Manhattan",53.4597701149425
442,213,"W 27 St & 7 Ave",40.746647,-73.993915,2013,214,"Manhattan",116.344827586207
443,214,"Bedford Ave & S 9 St",40.70853074,-73.96408963,2013,215,"Brooklyn",6.41379310344828
444,215,"Broadway & W 24 St",40.7423543,-73.98915076,2013,216,"Manhattan",133.597701149425
445,216,"E 10 St & Avenue A",40.72740794,-73.98142006,2013,217,"Manhattan",95.6091954022989
446,217,"W 24 St & 7 Ave",40.74487634,-73.99529885,2013,218,"Manhattan",115.551724137931
447,218,"8 Ave & W 52 St",40.76370739,-73.9851615,2013,219,"Manhattan",75.0229885057471
448,219,"W 37 St & 10 Ave",40.75660359,-73.9979009,2013,220,"Manhattan",64.9080459770115
449,220,"W 52 St & 9 Ave",40.76461837,-73.98789473,2013,221,"Manhattan",59.1724137931034
450,221,"W 49 St & 8 Ave",40.76227205,-73.98788205,2013,222,"Manhattan",83.4252873563218
453,222,"W 22 St & 8 Ave",40.74475148,-73.99915362,2013,223,"Manhattan",99.9080459770115
454,223,"E 51 St & 1 Ave",40.75455731,-73.96592976,2013,224,"Manhattan",32.8850574712644
455,224,"1 Ave & E 44 St",40.75001986,-73.96905301,2013,225,"Manhattan",56.0229885057471
456,225,"E 53 St & Madison Ave",40.7597108,-73.97402311,2013,226,"Manhattan",49.4022988505747
457,226,"Broadway & W 58 St",40.76695317,-73.98169333,2013,227,"Manhattan",90.9540229885057
458,227,"11 Ave & W 27 St",40.751396,-74.005226,2013,228,"Manhattan",74.7241379310345
459,228,"W 20 St & 11 Ave",40.746745,-74.007756,2013,229,"Manhattan",140.64367816092
460,229,"S 4 St & Wythe Ave",40.71285887,-73.96590294,2013,230,"Brooklyn",30.9655172413793
461,230,"E 20 St & 2 Ave",40.73587678,-73.98205027,2013,231,"Manhattan",92.8505747126437
462,231,"W 22 St & 10 Ave",40.74691959,-74.00451887,2013,232,"Manhattan",107.379310344828
463,232,"9 Ave & W 16 St",40.74206539,-74.00443172,2013,233,"Manhattan",87.1609195402299
465,233,"Broadway & W 41 St",40.75513557,-73.98658032,2013,234,"Manhattan",91.7011494252874
466,234,"W 25 St & 6 Ave",40.74395411,-73.99144871,2013,235,"Manhattan",93.9195402298851
467,235,"Dean St & 4 Ave",40.68312489,-73.97895137,2013,236,"Brooklyn",24.8505747126437
468,236,"Broadway & W 55 St",40.7652654,-73.98192338,2013,237,"Manhattan",93.1494252873563
469,237,"Broadway & W 53 St",40.76344058,-73.98268129,2013,238,"Manhattan",59.4942528735632
470,238,"W 20 St & 8 Ave",40.74345335,-74.00004031,2013,239,"Manhattan",74.3218390804598
471,239,"Grand St & Havemeyer St",40.71286844,-73.95698119,2013,240,"Brooklyn",18.7586206896552
472,240,"E 32 St & Park Ave",40.7457121,-73.98194829,2013,241,"Manhattan",117.114942528736
473,241,"Rivington St & Chrystie St",40.72110063,-73.9919254,2013,242,"Manhattan",45.7241379310345
474,242,"5 Ave & E 29 St",40.7451677,-73.98683077,2013,243,"Manhattan",93.2988505747126
475,243,"E 16 St & Irving Pl",40.73524276,-73.98758561,2013,244,"Manhattan",75.2183908045977
476,244,"E 31 St & 3 Ave",40.74394314,-73.97966069,2013,245,"Manhattan",70.0919540229885
477,245,"W 41 St & 8 Ave",40.75640548,-73.9900262,2013,246,"Manhattan",143.241379310345
478,246,"11 Ave & W 41 St",40.76030096,-73.99884222,2013,247,"Manhattan",77.0919540229885
479,247,"9 Ave & W 45 St",40.76019252,-73.9912551,2013,248,"Manhattan",92.8620689655172
480,248,"W 53 St & 10 Ave",40.76669671,-73.99061728,2013,249,"Manhattan",65.3908045977011
481,249,"S 3 St & Bedford Ave",40.71260486,-73.96264403,2013,250,"Brooklyn",24.2873563218391
482,250,"W 15 St & 7 Ave",40.73935542,-73.99931783,2013,251,"Manhattan",84.816091954023
483,251,"E 12 St & 3 Ave",40.73223272,-73.98889957,2013,252,"Manhattan",96.0574712643678
484,252,"W 44 St & 5 Ave",40.75500254,-73.98014437,2013,253,"Manhattan",88.7931034482759
485,253,"W 37 St & 5 Ave",40.75038009,-73.98338988,2013,254,"Manhattan",62.0919540229885
486,254,"Broadway & W 29 St",40.7462009,-73.98855723,2013,255,"Manhattan",94.7931034482759
487,255,"E 20 St & FDR Drive",40.73314259,-73.97573881,2013,256,"Manhattan",85.5172413793103
488,256,"W 39 St & 9 Ave",40.75645824,-73.99372222,2013,257,"Manhattan",90.5057471264368
489,257,"10 Ave & W 28 St",40.75066386,-74.00176802,2013,258,"Manhattan",94.8045977011494
490,258,"8 Ave & W 33 St",40.751551,-73.993934,2013,259,"Manhattan",151.16091954023
491,259,"E 24 St & Park Ave S",40.74096374,-73.98602213,2013,260,"Manhattan",87.2873563218391
492,260,"W 33 St & 7 Ave",40.75019995,-73.99093085,2013,261,"Manhattan",112.011494252874
493,261,"W 45 St & 6 Ave",40.7568001,-73.98291153,2013,262,"Manhattan",64.1149425287356
494,262,"W 26 St & 8 Ave",40.74734825,-73.99723551,2013,263,"Manhattan",110.448275862069
495,263,"W 47 St & 10 Ave",40.76269882,-73.99301222,2013,264,"Manhattan",67.1494252873563
496,264,"E 16 St & 5 Ave",40.73726186,-73.99238967,2013,265,"Manhattan",101.034482758621
497,265,"E 17 St & Broadway",40.73704984,-73.99009296,2013,266,"Manhattan",172.67816091954
498,266,"Broadway & W 32 St",40.74854862,-73.98808416,2013,267,"Manhattan",98.183908045977
499,267,"Broadway & W 60 St",40.76915505,-73.98191841,2013,268,"Manhattan",89.6091954022989
500,268,"Broadway & W 51 St",40.76228826,-73.98336183,2013,269,"Manhattan",70.3218390804598
501,269,"FDR Drive & E 35 St",40.744219,-73.97121214,2013,270,"Manhattan",56.1264367816092
502,270,"Henry St & Grand St",40.714215,-73.981346,2013,271,"Manhattan",57.0689655172414
503,271,"E 20 St & Park Ave",40.73827428,-73.98751968,2013,272,"Manhattan",90.551724137931
504,272,"1 Ave & E 15 St",40.73221853,-73.98165557,2013,273,"Manhattan",120.425287356322
505,273,"6 Ave & W 33 St",40.74901271,-73.98848395,2013,274,"Manhattan",109.32183908046
507,274,"E 25 St & 2 Ave",40.73912601,-73.97973776,2013,275,"Manhattan",87.3333333333333
508,275,"W 46 St & 11 Ave",40.76341379,-73.99667444,2013,276,"Manhattan",55.1494252873563
509,276,"9 Ave & W 22 St",40.7454973,-74.00197139,2013,277,"Manhattan",105.597701149425
510,277,"W 51 St & 6 Ave",40.7606597,-73.98042047,2013,278,"Manhattan",74.1724137931034
511,278,"E 14 St & Avenue B",40.72938685,-73.97772429,2013,279,"Manhattan",90.3333333333333
