station.id,station.name,latitude,longitude,boroname
532,S 5 Pl & S 4 St,40.710451,-73.960876,
532,S 5 Pl & S 4 St,40.710451,-73.960876,
532,S 5 Pl & S 4 St,40.710451,-73.960876,
532,S 5 Pl & S 4 St,40.710451,-73.960876,
224,Spruce St & Nassau St,40.71146364,-74.00552427,
224,Spruce St & Nassau St,40.71146364,-74.00552427,
224,Spruce St & Nassau St,40.71146364,-74.00552427,
3002,South End Ave & Liberty St,40.711512,-74.015756,
3081,Graham Ave & Grand St,40.711863,-73.944024,
3081,Graham Ave & Grand St,40.711863,-73.944024,
332,Cherry St,40.71219906,-73.97948148,Manhattan
332,Cherry St,40.71219906,-73.97948148,Manhattan
481,S 3 St & Bedford Ave,40.71260486,-73.96264403,
387,Centre St & Chambers St,40.71273266,-74.0046073,Manhattan
387,Centre St & Chambers St,40.71273266,-74.0046073,Manhattan
387,Centre St & Chambers St,40.71273266,-74.0046073,Manhattan
460,S 4 St & Wythe Ave,40.71285887,-73.96590294,
471,Grand St & Havemeyer St,40.71286844,-73.95698119,
471,Grand St & Havemeyer St,40.71286844,-73.95698119,
417,Barclay St & Church St,40.71291224,-74.01020234,Manhattan
308,St James Pl & Oliver St,40.71307916,-73.99851193,
308,St James Pl & Oliver St,40.71307916,-73.99851193,
319,Park Pl & Church St,40.71336124,-74.00937622,
319,Park Pl & Church St,40.71336124,-74.00937622,
295,Pike St & E Broadway,40.71406667,-73.99293911,
3087,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,
502,Henry St & Grand St,40.71422,-73.98135,
307,Canal St & Rutgers St,40.71427487,-73.98990025,Manhattan
309,Murray St & West St,40.7149787,-74.013012,
309,Murray St & West St,40.7149787,-74.013012,
309,Murray St & West St,40.7149787,-74.013012,
309,Murray St & West St,40.7149787,-74.013012,
327,Vesey Pl & River Terrace,40.7153379,-74.01658354,
327,Vesey Pl & River Terrace,40.7153379,-74.01658354,
327,Vesey Pl & River Terrace,40.7153379,-74.01658354,
539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,
539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,
539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,
539,Metropolitan Ave & Bedford Ave,40.71535,-73.96024,
147,Greenwich St & Warren St,40.71542197,-74.01121978,
350,Clinton St & Grand St,40.71559509,-73.9870295,Manhattan
350,Clinton St & Grand St,40.71559509,-73.9870295,Manhattan
412,Forsyth St & Canal St,40.7158155,-73.99422366,
356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,Manhattan
146,Hudson St & Reade St,40.71625008,-74.0091059,
146,Hudson St & Reade St,40.71625008,-74.0091059,
146,Hudson St & Reade St,40.71625008,-74.0091059,
146,Hudson St & Reade St,40.71625008,-74.0091059,
2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,
2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,
2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,
3094,Graham Ave & Withers St,40.7169811,-73.94485918,
311,Norfolk St & Broome St,40.7172274,-73.98802084,
